id	created_at	blend_name	ingredients	category
1409	2026-03-03 10:06:00.75605+00	PRAWTEIN Wloss	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1410	2026-03-03 10:06:00.75605+00	PRAWTEIN Wofert	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1411	2026-03-03 10:06:00.75605+00	PRAWTEIN Woman M	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1412	2026-03-03 10:06:00.75605+00	33	EUCALYPTUS GLOBULUS India - do směsí | BASIL | CLOVE leaf | CEDARWOOD HIMALAYAN | ORANGE | GURJUM BALSAM | LEMONGRASS	Směsi esenciálních olejů
1413	2026-03-03 10:06:00.75605+00	3S	RED ORANGE RAW COLD PRESSED | PATCHOULI JAVA Pogostemon Cablin benth | Benzoin Absolute Styrax benzoin | GURJUM BALSAM | CEDARWOOD HIMALAYAN | PALMAROSA	Směsi esenciálních olejů
1414	2026-03-03 10:06:00.75605+00	A-Par	CLOVE leaf | OREGANO Origanum vulgare | BASIL | EUCALYPTUS GLOBULUS India - do směsí | WILD MINT (Mentha arvensis)	Směsi esenciálních olejů
1415	2026-03-03 10:06:00.75605+00	Afrodite	Lily of the Valley Absolue | CLARY SAGE Salvia sclarea | Geranium EO - Madagascar | PALMAROSA | ROSEWOOD | JAMAROSA	Směsi esenciálních olejů
1416	2026-03-03 10:06:00.75605+00	Ag	CLOVE leaf | LEMON COLD PRESSED | ORANGE | LEMONGRASS | PEPPERMINT (Máta peprná) | GURJUM BALSAM | CEDARWOOD HIMALAYAN	Směsi esenciálních olejů
1417	2026-03-03 10:06:00.75605+00	Alg	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | FRANKINCENSE (BOSWELLIA SERRATA) | LEMON COLD PRESSED | LEMONGRASS | EUCALYPTUS GLOBULUS India - do směsí | WILD MINT (Mentha arvensis) | BIO KONOPNÁ SEMÍNKA (Organic Hemp Nuts) Rumunsko	Směsi esenciálních olejů
1418	2026-03-03 10:06:00.75605+00	Amor	Ylang complete EO - Madagascar | ACACIA (Acacia nilotica) | Jasmine Grandiflorum absolute | BERGAMOT SUN	Směsi esenciálních olejů
1419	2026-03-03 10:06:00.75605+00	Ancan	CLOVE leaf | CINNAMON LEAF	Směsi esenciálních olejů
1420	2026-03-03 10:06:00.75605+00	Ane	LEMON COLD PRESSED | CINNAMON LEAF | FRANKINCENSE (BOSWELLIA SERRATA) | CEDARWOOD HIMALAYAN	Směsi esenciálních olejů
1421	2026-03-03 10:06:00.75605+00	Angel	Ylang complete EO - Madagascar | ROSEWOOD | PALMAROSA | VANILLA CO2  Vanilla planifolia | BERGAMOT SUN	Směsi esenciálních olejů
1422	2026-03-03 10:06:00.75605+00	Antis	ORANGE | LEMON COLD PRESSED | CEDARWOOD HIMALAYAN | GURJUM BALSAM	Směsi esenciálních olejů
1423	2026-03-03 10:06:00.75605+00	Ast	EUCALYPTUS GLOBULUS India - do směsí | BASIL | CAMPHOR | TURMERIC root Curcuma longa | FRANKINCENSE (BOSWELLIA SERRATA) | WILD MINT (Mentha arvensis)	Směsi esenciálních olejů
1424	2026-03-03 10:06:00.75605+00	Aura	Ylang complete EO - Madagascar | CLARY SAGE Salvia sclarea | LAVENDER ALBANY | BERGAMOT SUN	Směsi esenciálních olejů
1425	2026-03-03 10:06:00.75605+00	Baby Sleep	KOKOSOVÝ OLEJ FRAKCIONOVANÝ MCT 60/40 | CANANGA | LAVENDER ALBANY | GURJUM BALSAM | MARJORAM	Směsi esenciálních olejů
1426	2026-03-03 10:06:00.75605+00	Balance	ORANGE | TEA TREE melaleuca alternifolia - do směsí | LEMON COLD PRESSED | CANANGA | CEDARWOOD HIMALAYAN | BASIL | EUCALYPTUS GLOBULUS India - do směsí | GURJUM BALSAM | ROSEMARY rosmarinus officinalis | CEDARWOOD HIMALAYAN	Směsi esenciálních olejů
1427	2026-03-03 10:06:00.75605+00	Balze	33 | FRANKINCENSE (BOSWELLIA SERRATA) | LEMON COLD PRESSED | TURMERIC root Curcuma longa	Směsi esenciálních olejů
1428	2026-03-03 10:06:00.75605+00	Best friend	Niaouli Melaleuca quinquenervia | FRANKINCENSE (BOSWELLIA SERRATA) | LAVENDER ALBANY	Směsi esenciálních olejů
1429	2026-03-03 10:06:00.75605+00	Blue diamond	Ylang complete EO - Madagascar | BLUE TANSY | BERGAMOT SUN | CANANGA	Směsi esenciálních olejů
1430	2026-03-03 10:06:00.75605+00	Bo	Doypack ZIP bílý mat 3000ml | Bewit Booster Extra Strong | Vysoušecí sáček 10 g - SILICA GEL (není vhodný do potravin) | Label Bewit Booster Extra Strong 1kg | Tea saponin 80% | WASHING SODA uhličitan sodný | BIO RAW KAKAOVÉ BOBY se slupkou | BASIL | CLOVE leaf | LEMON COLD PRESSED | LEMONGRASS | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | ROSEMARY rosmarinus officinalis | FRANKINCENSE (BOSWELLIA SERRATA) | WILD MINT (Mentha arvensis) | EUCALYPTUS CAMALDULENSIS | PEPPERMINT (Máta peprná) | EUCALYPTUS GLOBULUS India - do směsí | CASSIA | ZEOLITE CLINOPTILOLITE M50	Směsi esenciálních olejů
1431	2026-03-03 10:06:00.75605+00	Bodyguard	Sójový vosk (Soy wax) | BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | BASIL | CLOVE leaf | LEMON COLD PRESSED | LEMONGRASS | ROSEMARY rosmarinus officinalis | FRANKINCENSE (BOSWELLIA SERRATA) | WILD MINT (Mentha arvensis) | EUCALYPTUS CAMALDULENSIS | PEPPERMINT (Máta peprná) | EUCALYPTUS GLOBULUS India - do směsí | CASSIA	Směsi esenciálních olejů
1432	2026-03-03 10:06:00.75605+00	Breast plus	LAVENDER ALBANY | LAVENDER RAW CO2 | Ylang complete EO - Madagascar | CANANGA | BERGAMOT RAW	Směsi esenciálních olejů
1433	2026-03-03 10:06:00.75605+00	Breath	EUCALYPTUS GLOBULUS India - do směsí | GURJUM BALSAM | WILD MINT (Mentha arvensis)	Směsi esenciálních olejů
1434	2026-03-03 10:06:00.75605+00	Bref	BASIL | FENNEL seed | LAVENDER ALBANY | DILL seed (Anethum graveolens)	Směsi esenciálních olejů
1435	2026-03-03 10:06:00.75605+00	Bro	Niaouli Melaleuca quinquenervia | LAVENDER ALBANY | THYME (thymus vulgaris)	Směsi esenciálních olejů
1436	2026-03-03 10:06:00.75605+00	Bruises	Niaouli Melaleuca quinquenervia | FRANKINCENSE (BOSWELLIA SERRATA) | LAVENDER ALBANY | ROSEMARY rosmarinus officinalis	Směsi esenciálních olejů
1437	2026-03-03 10:06:00.75605+00	Bulce	LEMON COLD PRESSED | ORANGE | WILD MINT (Mentha arvensis) | PEPPERMINT (Máta peprná)	Směsi esenciálních olejů
1438	2026-03-03 10:06:00.75605+00	Buni	LEMONGRASS | GURJUM BALSAM | EUCALYPTUS GLOBULUS India - do směsí | ROSEMARY rosmarinus officinalis | FRANKINCENSE (BOSWELLIA SERRATA)	Směsi esenciálních olejů
1439	2026-03-03 10:06:00.75605+00	Byd	CLOVE leaf | ORANGE | LEMON COLD PRESSED | LEMONGRASS | ORANGE | BASIL | EUCALYPTUS GLOBULUS India - do směsí | LEMON COLD PRESSED | CINNAMON LEAF | WILD MINT (Mentha arvensis)	Směsi esenciálních olejů
1440	2026-03-03 10:06:00.75605+00	Bydia	BIO RAW KAKAOVÉ BOBY se slupkou | CLOVE leaf | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO KAROB prášek RAW | ORANGE | LEMON COLD PRESSED | LEMONGRASS | ORANGE | BASIL | EUCALYPTUS GLOBULUS India - do směsí | LEMON COLD PRESSED | CINNAMON LEAF | WILD MINT (Mentha arvensis)	Směsi esenciálních olejů
1441	2026-03-03 10:06:00.75605+00	Byf	KOKOSOVÝ OLEJ FRAKCIONOVANÝ MCT 60/40 | LEMON COLD PRESSED | BASIL | EUCALYPTUS CAMALDULENSIS | CLOVE leaf | LEMONGRASS | CLOVE leaf | EUCALYPTUS GLOBULUS India - do směsí | PEPPERMINT (Máta peprná) | BASIL | WILD MINT (Mentha arvensis) | LEMON COLD PRESSED | FRANKINCENSE (BOSWELLIA SERRATA)	Směsi esenciálních olejů
